status,date,source_title,source_slug,old_url,source_categories,source_tags,target_category,image_url,notes
migrated,2026-02-21,Deze site heeft weer een nieuw jasje. Soort van.,deze-site-heeft-weer-een-nieuw-jasje-soort-van,https://www.alxndrr.nl/deze-site-heeft-weer-een-nieuw-jasje-soort-van/,Overig,,Blog,http://www.alxndrr.nl/wp-content/uploads/2026/02/ChatGPT-Image-21-feb-2026-08_30_40.png,
migrated,2025-12-31,Het beste van 2025,het-beste-van-2025,https://www.alxndrr.nl/het-beste-van-2025/,Lijstjes,Lijstjes,Lists,http://www.alxndrr.nl/wp-content/uploads/2026/01/het-beste-van-2025-1.png,
migrated,2025-10-25,Dit is de tofste site die ik ooit heb gehad,dit-is-de-tofste-site-die-ik-ooit-heb-gehad,https://www.alxndrr.nl/dit-is-de-tofste-site-die-ik-ooit-heb-gehad/,Overig,Overig,Blog,http://www.alxndrr.nl/wp-content/uploads/2025/09/vibe-coding.png,
migrated,2025-10-10,Streamen kost je een godsvermogen,tv-streamen-is-duur,https://www.alxndrr.nl/tv-streamen-is-duur/,Series,Series,TV,http://www.alxndrr.nl/wp-content/uploads/2025/10/Streaming-Netflix-disney-hbo.jpg,
migrated,2025-09-30,Wat ik elke dag meesleep,wat-ik-elke-dag-meesleep,https://www.alxndrr.nl/wat-ik-elke-dag-meesleep/,Tech,Tech,Tech,http://www.alxndrr.nl/wp-content/uploads/2025/09/EDC.jpeg,
migrated,2025-09-27,De iPhone Air is voor mensen die hun telefoon zonder case gebruiken,iphone-air-review,https://www.alxndrr.nl/iphone-air-review/,Tech,Tech,Tech,http://www.alxndrr.nl/wp-content/uploads/2025/09/iPhone-Air-1.jpg,
migrated,2025-09-15,Je iPad is vanaf vandaag veel beter,ipados26,https://www.alxndrr.nl/ipados26/,Tech,Tech,Tech,http://www.alxndrr.nl/wp-content/uploads/2025/09/iPadOS-26.png,
migrated,2025-09-13,Pokémon Pokopia is de game waarvoor ik een Switch 2 ga halen,pokemon-pokopia-is-de-game-waarvoor-ik-een-switch-2-ga-halen,https://www.alxndrr.nl/pokemon-pokopia-is-de-game-waarvoor-ik-een-switch-2-ga-halen/,Games,Games,Games,http://www.alxndrr.nl/wp-content/uploads/2025/09/Pokemon-Pokopia-1.jpeg,
migrated,2025-09-12,iPhone Air preorder is binnen,iphone-air-preorder,https://www.alxndrr.nl/iphone-air-preorder/,Tech,Tech,Tech,http://www.alxndrr.nl/wp-content/uploads/2025/09/iPhone-Air.jpg,
migrated,2025-09-09,Ik heb een Nintendo Switch gestolen,ik-heb-een-nintendo-switch-gestolen,https://www.alxndrr.nl/ik-heb-een-nintendo-switch-gestolen/,Games,Games,Games,http://www.alxndrr.nl/wp-content/uploads/2025/09/ik-heb-een-switch-gestolen.png,
